nazwa,komenda
mq7018_workers_letter_basilisk_dead,additem('mq7018_workers_letter_basilisk_dead')
mq7021_treasure_map,additem('mq7021_treasure_map')
mq7021_filter,additem('mq7021_filter')
mq7023_letter_yen,additem('mq7023_letter_yen')
mq7023_letter_triss,additem('mq7023_letter_triss')
mq7023_letter_neutral,additem('mq7023_letter_neutral')
mq7023_map,additem('mq7023_map')
mq7023_journal_laura,additem('mq7023_journal_laura')
mq7023_gargoyle_hand,additem('mq7023_gargoyle_hand')
mq7023_megascope_crystal_2,additem('mq7023_megascope_crystal_2')
mq7023_megascope_crystal_4,additem('mq7023_megascope_crystal_4')
mq7023_centipede_albumen_mutated,additem('mq7023_centipede_albumen_mutated')
mq7023_fluff_book_mutations,additem('mq7023_fluff_book_mutations')
mq7024_alchemy_lab_note,additem('mq7024_alchemy_lab_note')
cg700_base_deck,additem('cg700_base_deck')
cg700_gwent_statue,additem('cg700_gwent_statue')
cg700_letter_monniers_brother,additem('cg700_letter_monniers_brother')
cg700_letter_merchants,additem('cg700_letter_merchants')
cg700_letter_purist,additem('cg700_letter_purist')
ff701_fist_fight_trophy,additem('ff701_fist_fight_trophy')
th700_prison_journal,additem('th700_prison_journal')
th700_crypt_journal,additem('th700_crypt_journal')
th700_vault_journal,additem('th700_vault_journal')
th700_lake_journal,additem('th700_lake_journal')
th700_lake_fluff_note1,additem('th700_lake_fluff_note1')
th700_lake_fluff_note2,additem('th700_lake_fluff_note2')
th700_lake_fluff_note3,additem('th700_lake_fluff_note3')
th700_preacher_bones,additem('th700_preacher_bones')
th701_wg_initial_note,additem('th701_wg_initial_note')
th701_wg_swords_note,additem('th701_wg_swords_note')
th701_wg_pants_note,additem('th701_wg_pants_note')
th701_bear_contract,additem('th701_bear_contract')
th701_bear_journal,additem('th701_bear_journal')
th701_bear_notes,additem('th701_bear_notes')
th701_cat_journal,additem('th701_cat_journal')
th701_cat_notes,additem('th701_cat_notes')
th701_cat_witcher_notes,additem('th701_cat_witcher_notes')
th701_gryphon_moreau_letter,additem('th701_gryphon_moreau_letter')
th701_gryphon_moreau_journal,additem('th701_gryphon_moreau_journal')
th701_gryphon_jerome_letter,additem('th701_gryphon_jerome_letter')
th701_power_core,additem('th701_power_core')
th701_wolf_journal,additem('th701_wolf_journal')
th701_wolf_witcher_note,additem('th701_wolf_witcher_note')
th701_elven_journal,additem('th701_elven_journal')
th701_portal_crystal,additem('th701_portal_crystal')
th701_coward_journal,additem('th701_coward_journal')
q701_crayfish_soup_recipe,additem('q701_crayfish_soup_recipe')
q701_pate_recipe,additem('q701_pate_recipe')
q701_godfryd_book,additem('q701_godfryd_book')
q701_rydygier_book,additem('q701_rydygier_book')
q701_1st_victim_files,additem('q701_1st_victim_files')
q701_2nd_victim_files,additem('q701_2nd_victim_files')
q701_3rd_victim_files,additem('q701_3rd_victim_files')
q701_goliath_book,additem('q701_goliath_book')
q701_gardens_invitation,additem('q701_gardens_invitation')
q701_wine_flier_01,additem('q701_wine_flier_01')
q701_wine_flier_02,additem('q701_wine_flier_02')
q701_wine_flier_03,additem('q701_wine_flier_03')
q701_corvo_bianco_book,additem('q701_corvo_bianco_book')
q701_fisherman_poetry,additem('q701_fisherman_poetry')
q703_killing_vampires,additem('q703_killing_vampires')
q703_history_of_est_est,additem('q703_history_of_est_est')
q703_history_of_pomino,additem('q703_history_of_pomino')
q703_one_handed_adalard,additem('q703_one_handed_adalard')
q703_napkin_love_letter,additem('q703_napkin_love_letter')
q703_letter_of_refusal,additem('q703_letter_of_refusal')
q703_piece_of_scenario,additem('q703_piece_of_scenario')
q704_ft_little_mermaid,additem('q704_ft_little_mermaid')
q704_ft_letter_from_dandelion,additem('q704_ft_letter_from_dandelion')
sq701_registration_note,additem('sq701_registration_note')
sq701_vivienne_note,additem('sq701_vivienne_note')
sq701_rainfarn_note,additem('sq701_rainfarn_note')
sq701_guillaume_note,additem('sq701_guillaume_note')
sq701_palmerin_note,additem('sq701_palmerin_note')
sq701_tailles_note,additem('sq701_tailles_note')
sq701_anseis_note,additem('sq701_anseis_note')
sq701_horm_note,additem('sq701_horm_note')
sq701_horm_emhyr_victory_note,additem('sq701_horm_emhyr_victory_note')
sq701_fan_02_note,additem('sq701_fan_02_note')
lore_biography_beledals_grandfather,additem('lore_biography_beledals_grandfather')
mq7011_bank_book_filler_01,additem('mq7011_bank_book_filler_01')
mq7011_bank_flier_01,additem('mq7011_bank_flier_01')
mq7011_bank_flier_02,additem('mq7011_bank_flier_02')
mq7020_hairdresser_recipe,additem('mq7020_hairdresser_recipe')
mq7020_hairdresser_leaflet,additem('mq7020_hairdresser_leaflet')
mq7020_duvall_poem,additem('mq7020_duvall_poem')
mq7020_map,additem('mq7020_map')
lore_basilisk_hunts,additem('lore_basilisk_hunts')
lore_toussaint_civil_war,additem('lore_toussaint_civil_war')
lore_toussaint_nobles,additem('lore_toussaint_nobles')
lore_toussaint_ecology,additem('lore_toussaint_ecology')
lore_gwent_history,additem('lore_gwent_history')
Bourgogne chardonnay,additem('Bourgogne chardonnay')
Chateau mont valjean,additem('Chateau mont valjean')
Bourgogne pinot noir,additem('Bourgogne pinot noir')
Saint mathieu rouge,additem('Saint mathieu rouge')
Duke nicolas chardonnay,additem('Duke nicolas chardonnay')
Chevalier adam pinot blanc reserve,additem('Chevalier adam pinot blanc reserve')
Prince john merlot,additem('Prince john merlot')
Count var ochmann shiraz,additem('Count var ochmann shiraz')
Chateau de konrad cabernet,additem('Chateau de konrad cabernet')
Geralt de rivia,additem('Geralt de rivia')
White Wolf,additem('White Wolf')
Butcher of Blaviken,additem('Butcher of Blaviken')
Pheasant gutted,additem('Pheasant gutted')
Tarte tatin,additem('Tarte tatin')
Ratatouille,additem('Ratatouille')
Baguette camembert,additem('Baguette camembert')
Crossaint honey,additem('Crossaint honey')
Herb toasts,additem('Herb toasts')
Brioche,additem('Brioche')
Flamiche,additem('Flamiche')
Camembert,additem('Camembert')
Chocolate souffle,additem('Chocolate souffle')
Pate chicken livers,additem('Pate chicken livers')
Confit de canard,additem('Confit de canard')
Baguette fish paste,additem('Baguette fish paste')
Fish tarte,additem('Fish tarte')
Boeuf bourguignon,additem('Boeuf bourguignon')
Onion soup,additem('Onion soup')
Ham roasted,additem('Ham roasted')
Tomato,additem('Tomato')
Cookies,additem('Cookies')
Ginger Bread,additem('Ginger Bread')
Magic Mushrooms,additem('Magic Mushrooms')
Draconide infused leather,additem('Draconide infused leather')
Nickel mineral,additem('Nickel mineral')
Nickel ore,additem('Nickel ore')
Copper mineral,additem('Copper mineral')
Copper ore,additem('Copper ore')
Cupronickel ore,additem('Cupronickel ore')
Copper ingot,additem('Copper ingot')
Copper plate,additem('Copper plate')
Green gold mineral,additem('Green gold mineral')
Green gold ore,additem('Green gold ore')
Green gold ingot,additem('Green gold ingot')
Green gold plate,additem('Green gold plate')
Orichalcum mineral,additem('Orichalcum mineral')
Orichalcum ore,additem('Orichalcum ore')
Dwimeryte enriched ore,additem('Dwimeryte enriched ore')
Acid extract,additem('Acid extract')
Centipede discharge,additem('Centipede discharge')
Archespore juice,additem('Archespore juice')
Kikimore discharge,additem('Kikimore discharge')
Vampire blood,additem('Vampire blood')
Monstrous carapace,additem('Monstrous carapace')
Sharley dust,additem('Sharley dust')
Wight ear,additem('Wight ear')
Wight hair,additem('Wight hair')
Sharley heart,additem('Sharley heart')
Monstrous pincer,additem('Monstrous pincer')
Centipede mandible,additem('Centipede mandible')
Dracolizard plate,additem('Dracolizard plate')
Monstrous spore,additem('Monstrous spore')
Wight stomach,additem('Wight stomach')
Monstrous vine,additem('Monstrous vine')
Archespore tendril,additem('Archespore tendril')
Monstrous wing,additem('Monstrous wing')
Peacock feather,additem('Peacock feather')
Dull meteorite axe,additem('Dull meteorite axe')
Broken meteorite pickaxe,additem('Broken meteorite pickaxe')
Hotel silver breadknife,additem('Hotel silver breadknife')
Hotel silver goblet,additem('Hotel silver goblet')
Hotel silver teapot,additem('Hotel silver teapot')
Hotel silver fruitbowl,additem('Hotel silver fruitbowl')
Hotel silver serving tray,additem('Hotel silver serving tray')
Hotel silver wine bottle,additem('Hotel silver wine bottle')
Hotel silver cup,additem('Hotel silver cup')
Copper salt pepper shaker,additem('Copper salt pepper shaker')
Copper mug,additem('Copper mug')
Copper platter,additem('Copper platter')
Copper casket,additem('Copper casket')
Copper candelabra,additem('Copper candelabra')
Cupronickel axe head,additem('Cupronickel axe head')
Cupronickel pickaxe head,additem('Cupronickel pickaxe head')
Copper chain,additem('Copper chain')
Green gold ruby ring,additem('Green gold ruby ring')
Green gold sapphire ring,additem('Green gold sapphire ring')
Green gold emerald ring,additem('Green gold emerald ring')
Green gold diamond ring,additem('Green gold diamond ring')
Green gold amber necklace,additem('Green gold amber necklace')
Green gold ruby necklace,additem('Green gold ruby necklace')
Green gold sapphire necklace,additem('Green gold sapphire necklace')
Green gold emerald necklace,additem('Green gold emerald necklace')
Green gold diamond necklace,additem('Green gold diamond necklace')
Touissant knife,additem('Touissant knife')
Bottle caps,additem('Bottle caps')
Fake teeth,additem('Fake teeth')
Corkscrew,additem('Corkscrew')
Gingerbread man,additem('Gingerbread man')
Toys rich,additem('Toys rich')
Teapot teacups,additem('Teapot teacups')
Skeletal ashes,additem('Skeletal ashes')
Magic mirror shard,additem('Magic mirror shard')
Magic dust,additem('Magic dust')
Fourleaf clover,additem('Fourleaf clover')
Magic gold,additem('Magic gold')
Holy basil,additem('Holy basil')
Blue lotus,additem('Blue lotus')
Recipe Dye Turquoise,additem('Recipe Dye Turquoise')
Recipe for Sharley Lure,additem('Recipe for Sharley Lure')
Recipe for Mutation Serum,additem('Recipe for Mutation Serum')
Red Wolf School steel sword Upgrade schematic,additem('Red Wolf School steel sword Upgrade schematic')
Serpent Steel Sword schematic 1,additem('Serpent Steel Sword schematic 1')
Guard Lvl2 steel sword 3 schematic,additem('Guard Lvl2 steel sword 3 schematic')
Knights Geralt steel sword 3 schematic,additem('Knights Geralt steel sword 3 schematic')
Hanza steel sword 3 schematic,additem('Hanza steel sword 3 schematic')
Toussaint steel sword 3 schematic,additem('Toussaint steel sword 3 schematic')
Serpent Silver Sword schematic 1,additem('Serpent Silver Sword schematic 1')
Serpent Silver Sword schematic 2,additem('Serpent Silver Sword schematic 2')
Serpent Silver Sword schematic 3,additem('Serpent Silver Sword schematic 3')
Witcher Red Wolf Jacket Upgrade schematic 2,additem('Witcher Red Wolf Jacket Upgrade schematic 2')
Witcher Red Wolf Gloves Upgrade schematic 2,additem('Witcher Red Wolf Gloves Upgrade schematic 2')
Witcher Red Wolf Boots Upgrade schematic 2,additem('Witcher Red Wolf Boots Upgrade schematic 2')
Witcher Red Wolf Pants Upgrade schematic 2,additem('Witcher Red Wolf Pants Upgrade schematic 2')
Guard Lvl1 Gloves 3 schematic,additem('Guard Lvl1 Gloves 3 schematic')
Guard Lvl1 Pants 3 schematic,additem('Guard Lvl1 Pants 3 schematic')
Guard Lvl1 A Gloves 3 schematic,additem('Guard Lvl1 A Gloves 3 schematic')
Guard Lvl1 A Boots 3 schematic,additem('Guard Lvl1 A Boots 3 schematic')
Guard Lvl1 A Pants 3 schematic,additem('Guard Lvl1 A Pants 3 schematic')
Guard Lvl2 Armor 3 schematic,additem('Guard Lvl2 Armor 3 schematic')
Guard Lvl2 Gloves 3 schematic,additem('Guard Lvl2 Gloves 3 schematic')
Guard Lvl2 Boots 3 schematic,additem('Guard Lvl2 Boots 3 schematic')
Guard Lvl2 Pants 3 schematic,additem('Guard Lvl2 Pants 3 schematic')
Guard Lvl2 A Armor 3 schematic,additem('Guard Lvl2 A Armor 3 schematic')
Guard Lvl2 A Gloves 3 schematic,additem('Guard Lvl2 A Gloves 3 schematic')
Guard Lvl2 A Boots 3 schematic,additem('Guard Lvl2 A Boots 3 schematic')
Guard Lvl2 A Pants 3 schematic,additem('Guard Lvl2 A Pants 3 schematic')
Knight Geralt Armor 3 schematic,additem('Knight Geralt Armor 3 schematic')
Knight Geralt Gloves 3 schematic,additem('Knight Geralt Gloves 3 schematic')
Knight Geralt Boots 3 schematic,additem('Knight Geralt Boots 3 schematic')
Knight Geralt Pants 3 schematic,additem('Knight Geralt Pants 3 schematic')
Knight Geralt A Armor 3 schematic,additem('Knight Geralt A Armor 3 schematic')
Knight Geralt A Gloves 3 schematic,additem('Knight Geralt A Gloves 3 schematic')
Knight Geralt A Boots 3 schematic,additem('Knight Geralt A Boots 3 schematic')
Knight Geralt A Pants 3 schematic,additem('Knight Geralt A Pants 3 schematic')
q604_work_vodka_cup,additem('q604_work_vodka_cup')
arrow_01,additem('arrow_01')
bow_elven_01,additem('bow_elven_01')
Spyglass,additem('Spyglass')
Cup_01,additem('Cup_01')
Piece_of_wood_01,additem('Piece_of_wood_01')
Floor_brush_man,additem('Floor_brush_man')
Broom,additem('Broom')
Sponge,additem('Sponge')
Drinking horn,additem('Drinking horn')
Bottle_01,additem('Bottle_01')
Lute 01,additem('Lute 01')
Sack,additem('Sack')
Oar_right,additem('Oar_right')
book_to_read,additem('book_to_read')
Fishing_rod,additem('Fishing_rod')
scythe_right,additem('scythe_right')
juggling_ball_right,additem('juggling_ball_right')
juggling_ball_left,additem('juggling_ball_left')
lw_de11_treasure_key,additem('lw_de11_treasure_key')
lw_de11_note,additem('lw_de11_note')
lw_de32_treasure_note,additem('lw_de32_treasure_note')
lw_gr13_slaver_note,additem('lw_gr13_slaver_note')
lw_gr29_cage_key,additem('lw_gr29_cage_key')
lw_gr34_note,additem('lw_gr34_note')
lw_gr34_treasure_key,additem('lw_gr34_treasure_key')
lw_gr39_note,additem('lw_gr39_note')
lw_gr39_treasure_key,additem('lw_gr39_treasure_key')
lw_gr40_note,additem('lw_gr40_note')
lw_gr40_treasure_key,additem('lw_gr40_treasure_key')
lw_gr41_note,additem('lw_gr41_note')
lw_gr41_treasure_key,additem('lw_gr41_treasure_key')
lw_gr7_soldiers_note,additem('lw_gr7_soldiers_note')
lw_gr_poi_042_letter,additem('lw_gr_poi_042_letter')
lw_gr_poi_042_chest_key,additem('lw_gr_poi_042_chest_key')
lw_sb24_note,additem('lw_sb24_note')
lw_sb24_treasure_key,additem('lw_sb24_treasure_key')
lw_hs2_cage_key,additem('lw_hs2_cage_key')
lw_hs2_scoiatael_note,additem('lw_hs2_scoiatael_note')
lw_sb13_smugglers_note,additem('lw_sb13_smugglers_note')
lw_sb14_pirate_note,additem('lw_sb14_pirate_note')
lw_sb18_camps_note,additem('lw_sb18_camps_note')
lw_sb2_base_camp_note,additem('lw_sb2_base_camp_note')
lw_sb2_base_camp_map,additem('lw_sb2_base_camp_map')
lw_sb2_sunken_ships_map,additem('lw_sb2_sunken_ships_map')
lw_sb3_giggler_note_pirates,additem('lw_sb3_giggler_note_pirates')
lw_sb3_giggler_note_workers,additem('lw_sb3_giggler_note_workers')
lw_tm12_cage_key,additem('lw_tm12_cage_key')
lw_tm12_bandit_note,additem('lw_tm12_bandit_note')
lw_tm15_treasure_hunter_note,additem('lw_tm15_treasure_hunter_note')
lw_tm6_note,additem('lw_tm6_note')
lw_sk30_villager_note,additem('lw_sk30_villager_note')
lw_sk30_chest_key,additem('lw_sk30_chest_key')
lw_sk31_note,additem('lw_sk31_note')
lw_sk31_treasure_key,additem('lw_sk31_treasure_key')
lw_sk3_ship_note,additem('lw_sk3_ship_note')
lw_sk57_treasure_note,additem('lw_sk57_treasure_note')
lw_sk57_treasure_key,additem('lw_sk57_treasure_key')
lw_sk_poi_005_treasure_note,additem('lw_sk_poi_005_treasure_note')
lw_sk_poi_056_note,additem('lw_sk_poi_056_note')
lw_sk42_treasure_key,additem('lw_sk42_treasure_key')
lw_sk_poi_050_note,additem('lw_sk_poi_050_note')
Tutorial Bomb,additem('Tutorial Bomb')
Toy sword,additem('Toy sword')
toy_bow,additem('toy_bow')
NPC Wooden sword,additem('NPC Wooden sword')
mq4005 Silver sword 6 schematic,additem('mq4005 Silver sword 6 schematic')
q302_roche_letter,additem('q302_roche_letter')
lw_prologue_temerian_treasure_note,additem('lw_prologue_temerian_treasure_note')
DLC5 Nilfgaardian Armor,additem('DLC5 Nilfgaardian Armor')
th1003_ireneus_lab_key,additem('th1003_ireneus_lab_key')
th1005_journal_gryphon_part6,additem('th1005_journal_gryphon_part6')
Shani Alcohol 2,additem('Shani Alcohol 2')
Shani Alcohol 1,additem('Shani Alcohol 1')
Shani Flower 3,additem('Shani Flower 3')
Shani Flower 1,additem('Shani Flower 1')
th1010_armor_note,additem('th1010_armor_note')
th1010_schematic_armor,additem('th1010_schematic_armor')
th1009_journal_wolf_part3a,additem('th1009_journal_wolf_part3a')
th1009_journal_wolf_part2a,additem('th1009_journal_wolf_part2a')
th1009_crystal,additem('th1009_crystal')
th1009_journal_wolf_part4,additem('th1009_journal_wolf_part4')
th1009_journal_wolf_part1a,additem('th1009_journal_wolf_part1a')
Q2_Axe2h,additem('Q2_Axe2h')
Body feet 01,additem('Body feet 01')
Body legs 01,additem('Body legs 01')
Q1_short_steel_sword,additem('Q1_short_steel_sword')
Ciri Wolf Medallion,additem('Ciri Wolf Medallion')
crossbow_01,additem('crossbow_01')
q301_notice_haunted_house,additem('q301_notice_haunted_house')
Guest mask woman 19,additem('Guest mask woman 19')
cg_notice_baron,additem('cg_notice_baron')
cg_notice_stjepan,additem('cg_notice_stjepan')
cg_notice_vivaldi,additem('cg_notice_vivaldi')
cg_notice_mousesack,additem('cg_notice_mousesack')
mh101_contract,additem('mh101_contract')
mh103_contract,additem('mh103_contract')
mh104_contract,additem('mh104_contract')
mh106_contract,additem('mh106_contract')
mh107_contract,additem('mh107_contract')
mh302_contract,additem('mh302_contract')
mh304_contract,additem('mh304_contract')
mh305_contract,additem('mh305_contract')
mq2030_nithing,additem('mq2030_nithing')
NPC Skellige sword 1,additem('NPC Skellige sword 1')
mq2048 Male Handcuffs,additem('mq2048 Male Handcuffs')
Q1_club1h,additem('Q1_club1h')
q105_johnnys_doll,additem('q105_johnnys_doll')
Q1_axe1h,additem('Q1_axe1h')
head_robbery_mark_tattoo,additem('head_robbery_mark_tattoo')
head_robbery_tattoo,additem('head_robbery_tattoo')
head_robbery_mark,additem('head_robbery_mark')
head_robbery,additem('head_robbery')
Q1_Halberd2h,additem('Q1_Halberd2h')
NPC Hjalmar_Short_Steel_Sword,additem('NPC Hjalmar_Short_Steel_Sword')
NPC No Mans Land sword 3,additem('NPC No Mans Land sword 3')
NPC Inquisitor sword 1,additem('NPC Inquisitor sword 1')
NPC Witcher Silver Sword q403 upgrade,additem('NPC Witcher Silver Sword q403 upgrade')
NPC Vesemir Steel Sword,additem('NPC Vesemir Steel Sword')
NPC Vesemir Silver Sword,additem('NPC Vesemir Silver Sword')
NPC Vesemir Silver Sword q403 upgrade,additem('NPC Vesemir Silver Sword q403 upgrade')
q403_treaty,additem('q403_treaty')
Nilfgaardian Casual Pants no show,additem('Nilfgaardian Casual Pants no show')
sq305_trophies,additem('sq305_trophies')
sq306_sacha_letter,additem('sq306_sacha_letter')
q401_avallachs_wisp,additem('q401_avallachs_wisp')
Horse Universal Reins,additem('Horse Universal Reins')
head_1,additem('head_1')
head_2,additem('head_2')
head_3,additem('head_3')
head_4,additem('head_4')
head_1_tattoo,additem('head_1_tattoo')
head_2_tattoo,additem('head_2_tattoo')
head_3_tattoo,additem('head_3_tattoo')
head_4_tattoo,additem('head_4_tattoo')
head_0_mark,additem('head_0_mark')
head_1_mark,additem('head_1_mark')
head_2_mark,additem('head_2_mark')
head_3_mark,additem('head_3_mark')
head_4_mark,additem('head_4_mark')
head_0_mark_tattoo,additem('head_0_mark_tattoo')
head_1_mark_tattoo,additem('head_1_mark_tattoo')
head_2_mark_tattoo,additem('head_2_mark_tattoo')
head_3_mark_tattoo,additem('head_3_mark_tattoo')
head_4_mark_tattoo,additem('head_4_mark_tattoo')
Body underwear 01,additem('Body underwear 01')
Frog mask,additem('Frog mask')
mq0004_thalers_monocle_wearable,additem('mq0004_thalers_monocle_wearable')
scabbard_steel_nomansland_01,additem('scabbard_steel_nomansland_01')
scabbard_silver_3_01,additem('scabbard_silver_3_01')
recipe_for_yennefers_omelette,additem('recipe_for_yennefers_omelette')
recipe_for_scrambled_eggs,additem('recipe_for_scrambled_eggs')
Blasting powder,additem('Blasting powder')
Bear fat,additem('Bear fat')
Witcher Gryphon Pants Upgrade schematic 2,additem('Witcher Gryphon Pants Upgrade schematic 2')
lw_sk25_bandits_note,additem('lw_sk25_bandits_note')
lw_sk86_old_mans_note,additem('lw_sk86_old_mans_note')
lw_gr15_bandits_note,additem('lw_gr15_bandits_note')
lw_gr15_ghouls_note,additem('lw_gr15_ghouls_note')
lw_gr13_poppy_slaver_note,additem('lw_gr13_poppy_slaver_note')
lw_cp14_bandit_note,additem('lw_cp14_bandit_note')
lw_gf2_white_note,additem('lw_gf2_white_note')
lw_gr29_bandit_note,additem('lw_gr29_bandit_note')
lw_hs2_bandit_note,additem('lw_hs2_bandit_note')
lw_bm6_merchant_note,additem('lw_bm6_merchant_note')
lw_prologue_temerian_loot_manifest,additem('lw_prologue_temerian_loot_manifest')
lw_sb20_chest_note,additem('lw_sb20_chest_note')
lw_de_wett_note,additem('lw_de_wett_note')
lw_cp36_note,additem('lw_cp36_note')
mq1051_orders_note,additem('mq1051_orders_note')
noon_shadow_loot_note,additem('noon_shadow_loot_note')
Cockatrice maw,additem('Cockatrice maw')
Ekimma epidermis,additem('Ekimma epidermis')
Cave Troll liver,additem('Cave Troll liver')
Erynie eye,additem('Erynie eye')
Fake_Arrow,additem('Fake_Arrow')
q108 Medium armor 10,additem('q108 Medium armor 10')
Ciri armor 01,additem('Ciri armor 01')
Wild Hunt armor 01,additem('Wild Hunt armor 01')
mon_rat_weapon,additem('mon_rat_weapon')
mon_alghoul_weapon,additem('mon_alghoul_weapon')
mon_ancient_leshen_weapon,additem('mon_ancient_leshen_weapon')
mon_him_weapon,additem('mon_him_weapon')
mon_alpha_wolf_weapon,additem('mon_alpha_wolf_weapon')
mon_arachas_weapon,additem('mon_arachas_weapon')
mon_arachas_armored_weapon,additem('mon_arachas_armored_weapon')
mon_basilisk_wing_right,additem('mon_basilisk_wing_right')
mon_bear_grizzly_weapon,additem('mon_bear_grizzly_weapon')
mon_bear_white_weapon,additem('mon_bear_white_weapon')
mon_berserker_weapon,additem('mon_berserker_weapon')
mon_cockatrice_wing_right,additem('mon_cockatrice_wing_right')
mon_cockatrice_wing_left,additem('mon_cockatrice_wing_left')
mon_cyclops_weapon,additem('mon_cyclops_weapon')
mon_czart_weapon,additem('mon_czart_weapon')
mon_dao_lesser_fist_right,additem('mon_dao_lesser_fist_right')
mon_dao_lesser_fist_left,additem('mon_dao_lesser_fist_left')
mon_dao_fist_right,additem('mon_dao_fist_right')
mon_djinn_weapon,additem('mon_djinn_weapon')
mon_drowner_weapon,additem('mon_drowner_weapon')
mon_endriaga_worker_weapon,additem('mon_endriaga_worker_weapon')
mon_endriaga_soldier_weapon,additem('mon_endriaga_soldier_weapon')
mon_endriaga_spikey_weapon,additem('mon_endriaga_spikey_weapon')
mon_erynia_weapon,additem('mon_erynia_weapon')
mon_evil_dog_weapon,additem('mon_evil_dog_weapon')
mon_bies_r_claw_weapon,additem('mon_bies_r_claw_weapon')
mon_czart_r_claw_weapon,additem('mon_czart_r_claw_weapon')
mon_czart_l_claw_weapon,additem('mon_czart_l_claw_weapon')
mon_fogling_weapon,additem('mon_fogling_weapon')
mon_forktail_head,additem('mon_forktail_head')
mon_forktail_tail,additem('mon_forktail_tail')
mon_forktail_young_head,additem('mon_forktail_young_head')
mon_forktail_young_tail,additem('mon_forktail_young_tail')
mon_fugas_weapon,additem('mon_fugas_weapon')
mon_fugas_vomit,additem('mon_fugas_vomit')
mon_fugas_lesser_weapon,additem('mon_fugas_lesser_weapon')
mon_gargoyle_weapon,additem('mon_gargoyle_weapon')
mon_giant_weapon,additem('mon_giant_weapon')
mon_grave_hag_weapon,additem('mon_grave_hag_weapon')
mon_greater_miscreant_weapon,additem('mon_greater_miscreant_weapon')
mon_griffon_lesser_wing_right,additem('mon_griffon_lesser_wing_right')
mon_griffon_wing_right,additem('mon_griffon_wing_right')
mon_griffon_wing_left,additem('mon_griffon_wing_left')
mon_griffon_volcanic_wing_right,additem('mon_griffon_volcanic_wing_right')
mon_ice_giant_weapon,additem('mon_ice_giant_weapon')
mon_ifrit_fist_right,additem('mon_ifrit_fist_right')
mon_katakan_weapon,additem('mon_katakan_weapon')
mon_katakan_large_weapon,additem('mon_katakan_large_weapon')
mon_lamia_weapon,additem('mon_lamia_weapon')
mon_leshen_weapon,additem('mon_leshen_weapon')
mon_lycanthrope_weapon,additem('mon_lycanthrope_weapon')
mon_nekker_weapon,additem('mon_nekker_weapon')
mon_nightwraith_weapon,additem('mon_nightwraith_weapon')
mon_nightwraith_weapon_mh,additem('mon_nightwraith_weapon_mh')
mon_noonwraith_weapon,additem('mon_noonwraith_weapon')
mon_pesta_weapon,additem('mon_pesta_weapon')
mon_rotfiend_weapon,additem('mon_rotfiend_weapon')
mon_rotfiend_large_weapon,additem('mon_rotfiend_large_weapon')
mon_simulakrum_weapon_right,additem('mon_simulakrum_weapon_right')
mon_simulakrum_weapon_left,additem('mon_simulakrum_weapon_left')
mon_siren_weapon,additem('mon_siren_weapon')
mon_succubus_weapon,additem('mon_succubus_weapon')
mon_troll_young_weapon,additem('mon_troll_young_weapon')
mon_troll_weapon,additem('mon_troll_weapon')
mon_troll_black_weapon,additem('mon_troll_black_weapon')
mon_troll_weapon_bart,additem('mon_troll_weapon_bart')
mon_water_hag_greater_weapon,additem('mon_water_hag_greater_weapon')
mon_werewolf_weapon,additem('mon_werewolf_weapon')
mon_werewolf_lesser_weapon,additem('mon_werewolf_lesser_weapon')
mon_wild_hunt_minion_lesser_weapon,additem('mon_wild_hunt_minion_lesser_weapon')
mon_wild_hunt_minion_weapon,additem('mon_wild_hunt_minion_weapon')
mon_willo_wisp_weapon,additem('mon_willo_wisp_weapon')
mon_witch3_weapon,additem('mon_witch3_weapon')
mon_wolf_weapon,additem('mon_wolf_weapon')
mon_wolf_white_weapon,additem('mon_wolf_white_weapon')
mon_wraith_weapon,additem('mon_wraith_weapon')
mon_wraith_weapon_mh207,additem('mon_wraith_weapon_mh207')
mon_wraith_mh_weapon,additem('mon_wraith_mh_weapon')
mon_wyvern_head,additem('mon_wyvern_head')
mon_wyvern_tail,additem('mon_wyvern_tail')
Boots 07_crafted,additem('Boots 07_crafted')
Heavy boots 07_crafted,additem('Heavy boots 07_crafted')
Heavy boots 08_crafted,additem('Heavy boots 08_crafted')
NPC Short Steel Sword,additem('NPC Short Steel Sword')
NPC Dandelion Short Steel Sword,additem('NPC Dandelion Short Steel Sword')
NPC Rusty No Mans Land sword,additem('NPC Rusty No Mans Land sword')
NPC Rusty Skellige sword,additem('NPC Rusty Skellige sword')
NPC Rusty Novigraadan sword,additem('NPC Rusty Novigraadan sword')
NPC Short sword 1,additem('NPC Short sword 1')
NPC No Mans Land sword 1 q2,additem('NPC No Mans Land sword 1 q2')
NPC No Mans Land sword 2,additem('NPC No Mans Land sword 2')
NPC Nilfgaardian sword 2,additem('NPC Nilfgaardian sword 2')
NPC Skellige sword 3,additem('NPC Skellige sword 3')
NPC q402 Skellige sword 3,additem('NPC q402 Skellige sword 3')
NPC No Mans Land sword 4,additem('NPC No Mans Land sword 4')
NPC Skellige sword 4,additem('NPC Skellige sword 4')
NPC Scoiatael sword 2,additem('NPC Scoiatael sword 2')
NPC Novigraadan sword 4,additem('NPC Novigraadan sword 4')
NPC Nilfgaardian sword 4,additem('NPC Nilfgaardian sword 4')
NPC Scoiatael sword 3,additem('NPC Scoiatael sword 3')
NPC Scoiatael sword 4,additem('NPC Scoiatael sword 4')
